ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,finance_lease_principal_payments,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
HPG,2017,4,2749694287204,561515828809,-16307823121,-10097823077,-32766940514,135018785751,0,3371587985299,-605781725895,-715028361029,281626431892,-46359201842,-131211223031,-822294954967,0,-68883821314,1263655129113,-3213308867189,1044844892,5301410216620,-3269612916987,-40833411607,651015518,64399159363,-1156249959390,0,0,9618028562481,-8051264652750,0,-1092127232,1565671782499,1673076952222,2591864482986,-299480519,4264641954689
HPG,2017,3,2487911010740,496694475864,5595692677,-547473255,-21726279339,130923942442,0,3104007479047,98685215264,-655007259885,-571820469638,-27878412984,-128323294948,-24850859491,-4055188280,839011444,1791596220529,-3458547485030,1127420870,-11824387911655,7686710561819,0,0,27315537918,-7567781876078,5046526420000,0,10370508379840,-8862572450839,0,-139603000,6554322746001,778137090452,1813484050479,243342055,2591864482986
HPG,2017,2,1807855656986,484745011931,2968679132,4822077813,-16738098574,130009931346,0,2418819368552,269010297886,-335139421203,704354973233,38592222379,-132743807560,-133899941983,418538280,-45629933278,2783782296306,-1570792467729,2609865774,-2140451256926,14790032134,0,0,52505281018,-3641338545729,10758940000,0,13681487984030,-13400697158678,0,-1280625591,290269139761,-567287109662,2380437136128,334024013,1813484050479
HPG,2017,1,2242908787766,472087077057,-5127467707,1055827571,-36657312451,83754910316,0,2763177932469,-224961014404,-492313380351,-842569434594,-30152684582,-81058955443,-742733739918,3636650000,-136220414230,216804958947,-638806317086,3118356422,-4980628741489,30100588634,0,0,28171851619,-5558044261900,0,0,3524671584538,-360000000000,0,-1108892177,3163562692361,-2177676610592,4558660713745,-546967025,2380437136128
HPG,2016,4,2252940497691,447982118359,-75174190111,12517247533,73138204731,62584242926,0,2779144231046,-393996164857,-2187649492867,2458063894589,-40646092026,-64554214138,-460934433910,0,-10639153120,2078788574717,-1250587612436,-1266794180,-1089631271176,671938464865,0,0,-74102609592,-1743649822519,79230444922,-170000000,7390246964001,-6528730087986,0,-138537000,940438783937,1275577536135,3282771484625,311692745,4558660713505
HPG,2016,3,1855716288705,420410354185,3385535627,-7976372368,-30653206041,69055625453,0,2315094335479,-541024942820,300154917839,-8471024019,34191082501,-65761520508,-18648547941,0,-21360633793,1994173666738,-650397956204,1142559634,-20428632278,297642061629,0,0,37593239468,-334448727751,-79230444922,0,5656494927514,-5906623835507,0,-1100054460399,-1429413813314,230311125673,3052404764799,55594153,3282771484625
HPG,2016,2,2381777336224,432200432622,-18512144488,19082366767,-64763470973,67328991186,0,2822269621255,86255061363,-2273151476081,44001195718,108443413707,-34361563100,-64867429194,0,-15267794459,673321029209,-328957960692,19973296067,-415545617295,730604857143,0,0,44965811151,51040386374,0,0,4343536260946,-4940426362321,0,-1187429332,-598077530707,126283884876,2926138476017,-17596094,3052404764799
HPG,2016,1,1211372613286,353668480131,-28304906688,-3950169382,-26921804949,81042378600,0,1592641545219,64262188564,933139505285,-360050646030,23137601903,-116050624405,-301624696806,0,-91887886455,1743566987275,-670935842397,903986138,-355659073764,290321710394,-73131328075,0,33572675627,-774927872077,0,0,5959366812658,-6374076795436,0,-456946831,-415166929609,553472185589,2372761840865,-95550437,2926138476017
HPG,2015,4,682848761927,398368348918,45255893932,-66091956217,-31403070410,76032561384,0,1304883164337,292559330081,-175193139626,-99740606995,-87175570480,-493248379874,-93833880314,-514335225,-953154302,646783427602,-1307123101477,9887774352,-1732938580716,939959424990,-230628789000,0,46944267217,-2273899004634,0,0,7759186724515,-7684873403975,1821983830537,-1318725885,1894978425192,267862848160,2107094759286,-29001581,2374928605865
HPG,2015,3,1160633509273,296302507223,8782905986,21316871834,-42229158345,65651042150,0,1540830405611,-83490303827,-674494231636,-432685441816,19038775238,355932329076,-64039270832,2957111520,-22890829296,641158544038,-138529322500,12465425450,776493662874,278425000000,0,0,25615642494,954470408318,0,0,7610652137591,-7299644979889,-1821983830537,-180704291,-1511157377126,84471575230,2022505414440,117769616,2107094759286
